1,let,Oに～させる
2,create,(を)つくり出す
3,cause,を引き起こす
4,increase,増加する
5,leave,OをCのままにしておく
6,develop,を開発する
7,reduce,を減らす
8,improve,を進歩[向上]させる
9,produce,(製品・農作物など)を作る
10,agree,意見が一致する
11,tell,がわかる
12,allow,を許す
13,prepare,(を)準備する
14,own,を所有している
15,check,(を)検査[点検]する
16,suggest,を提案する
17,cost,(費用)がかかる
18,meet,(要求・条件など)を満たす
19,provide,を提供[供給]する
20,waste,を浪費する
21,protect,を保護する
22,offer,を申し出る
23,describe,(の特徴)を述べる
24,damage,に損傷[損害]を与える
25,disagree,意見が食い違う
26,recommend,を推薦する
27,repair,を修理する
28,share,を共有する
29,follow,に続く
30,lead,つながる
31,attract,(注意・興味など)を引く
32,encourage,を促す
33,support,を支持[支援]する
34,raise,(子ども)を育てる
35,hire,を雇う
36,charge,(税金など)を課す
37,care,気にかける
38,book,を予約する
39,store,を蓄える
40,train,を訓練する
41,last,続く
42,park,を駐車する
43,run,を経営[運営]する
44,pay,給料
45,brain,頭脳
46,customer,顧客
47,order,順番
48,research,調査
49,environment,環境
50,result,結果
51,amount,量
52,situation,状況
53,garbage,ゴミ
54,device,装置
55,exercise,運動
56,skill,技能
57,metal,金属
58,electricity,電気
59,traffic,交通(量)
60,stress,(心身への)ストレス
61,employee,従業員
62,education,教育
63,presentation,発表
64,design,デザイン
65,experience,経験
66,expert,専門家
67,fact,事実
68,staff,スタッフ
69,fuel,燃料
70,tour,見学
71,taste,好み
72,benefit,利益
73,practice,実践
74,activity,活動
75,subject,話題
76,professor,教授
77,memory,記憶(力)
78,effect,影響
79,patient,患者
80,project,(組織的)計画
81,article,記事
82,material,材料
83,bill,請求書
84,technology,科学技術
85,security,安全
86,discount,割引
87,review,批評
88,flight,定期航空便
89,smartphone,スマートフォン
90,supplement,サプリメント
91,chemical,化学の
92,ancient,古代の
93,common,共通の
94,likely,〜しそうで
95,recently,最近
96,probably,たぶん
97,actually,実は
98,though,…だけれども
99,while,…している間に
100,whether,…かどうか
101,form,を組織する
102,cancel,を取り消す
103,relax,くつろぐ
104,add,を加える
105,contact,と連絡を取る
106,purchase,(高価な物・大量の物)を購入する
107,expect,を予期する
108,continue,を続ける
109,require,を要求する
110,replace,を取り替える
111,suffer,苦しむ
112,fix,を修理する
113,serve,(に)食事を出す
114,include,を含む
115,attend,に出席する
116,quit,をやめる
117,prefer,の方を好む
118,recycle,(を)再生利用する
119,face,に直面する
120,invent,を発明する
121,prevent,を防ぐ
122,decrease,を減らす
123,attach,を添付する
124,shape,を形作る
125,fill,を満たす
126,exchange,を交換し合う
127,realize,に気づく
128,lower,を下げる
129,guess,だと思う
130,gain,を得る
131,suit,に似合う
132,land,着陸する
133,award,AにB(賞など)を与える
134,statement,陣述
135,insect,虫
136,department,部門
137,membership,会員資格
138,fat,脂肪
139,sentence,文
140,community,地域社会
141,instrument,機器
142,focus,焦点
143,client,顧客
144,bacteria,細菌
145,retirement,(定年による)退職
146,nature,性質
147,earth,地球
148,grocery,食料雑貨店
149,trash,ゴミ
150,method,(研究・調査などの)方法
151,site,場所
152,tablet,タブレット
153,organization,組織
